round,tag,ablation,params,bits,best_top1,final_top1,final_loss,time_s,status,error
1,single-expert-no-moe,single_expert,389600,12467200,0.93,0.927,0.2368383376598358,43.7,ok,
2,no-gate-uniform-avg,no_gate,1558400,49868800,0.959,0.944,0.19610222208499908,167.2,ok,
10,single-5conv-best,single_arch,389600,12467200,0.942,0.94,0.17871976029872894,42.0,ok,
11,single-3conv-shallow,single_arch,94176,3013632,0.843,0.779,0.6522385988235474,28.3,ok,
12,single-6conv-deeper,single_arch,537312,17193984,0.963,0.963,0.11161701118946075,52.9,ok,
13,single-7conv-even-deeper,single_arch,537312,17193984,0.963,0.963,0.11161701118946075,49.7,ok,
14,single-6conv-relu,single_arch,537312,17193984,0.932,0.932,0.24161057305335998,45.5,ok,
15,single-6conv-no-fp-first,single_arch,537312,17193984,0.964,0.964,0.1169918332695961,50.1,ok,
16,single-6conv-bw16,single_arch,135024,4320768,0.941,0.941,0.203743173122406,22.0,ok,
17,single-6conv-bw24,single_arch,302760,9688320,0.924,0.924,0.22574837708473205,36.1,ok,
18,single-6conv-bw32-confirm,single_arch,537312,17193984,0.963,0.963,0.11161701118946075,50.6,ok,
19,single-6conv-k5,single_arch,1488096,47619072,0.945,0.919,0.24962961912155152,82.5,ok,
20,single-6conv-no-augment,single_arch,537312,17193984,0.963,0.963,0.11161701118946075,48.5,ok,
20,single-6conv-no-augment,single_arch,537312,17193984,0.952,0.945,0.1899184901714325,47.7,ok,
21,fp-cnn-same-arch,fp_vs_binary,537312,17193984,0.974,0.968,0.11825334471464156,49.6,ok,
22,binary-all-binary-no-fp,fp_vs_binary,537312,537312,0.959,0.959,0.12931041491031647,52.0,ok,
26,single-8conv-deepest,single_arch,537312,17193984,0.963,0.963,0.11161701118946075,48.7,ok,
27,single-6conv-bw48,single_arch,1206864,38619648,0.968,0.968,0.10700557208061218,83.4,ok,
