round,tag,params,best_top1,final_top1,final_loss,time_s,status,error
1,baseline-skeleton,2103808,0.143,0.142,23.711582992553712,18.6,ok,
2,tanh-residual-fp-prebin,2103808,0.607,0.607,12.462866134643555,18.1,ok,
3,learned-logit-scale,2103809,0.515,0.515,1.677404800415039,17.4,ok,
4,binary-proj-fixed-logit-scale,2103808,0.37,0.37,1.8672706022262573,24.5,ok,
5,fp-proj-small-init-soft-gumbel,2103808,0.726,0.726,0.9698655891418457,16.2,ok,
6,learnable-encoder,2505216,0.823,0.823,0.5657588634490966,17.5,ok,
7,"gentler-temp-schedule-n(0,1)-init",2505216,0.899,0.899,0.3372001624107361,16.3,ok,
8,skip-conn-to-readout,2510336,0.889,0.874,0.4489618155956268,16.0,ok,
9,reg-loss-push-to-binary,2505216,0.885,0.87,0.41643810319900515,23.7,ok,
10,multi-k-lut-block,3244312,0.898,0.888,0.3727277870178223,25.7,ok,
11,pre-bias-lut-block,2506240,0.899,0.899,0.3372001624107361,18.8,ok,
12,learnable-mix-alpha,2506242,0.889,0.879,0.5782736930847168,15.7,ok,
13,kd-from-fp-teacher,2506242,0.878,0.878,0.46781461095809934,26.4,ok,
14,fp-proj-in-readout,2511360,0.886,0.88,0.3726813769340515,18.1,ok,
15,tanh-ste-lut-no-gumbel,2506240,0.884,0.878,0.4180463597774506,8.7,ok,
16,tanh-ste-with-noise,2506240,0.892,0.892,0.3697376184463501,9.0,ok,
17,overlapping-groups-stride-k/2,4587008,0.893,0.893,0.3895182058811188,16.3,ok,
18,spatial-hdc-encoder,2105616,0.126,0.126,2.309709846496582,6.7,ok,
19,2-layer-mlp-readout,2522000,0.88,0.88,0.38234988355636595,8.5,ok,
20,stochastic-depth-0.3,2506240,0.885,0.885,0.4193798625469208,9.2,ok,
21,k6-larger-lut,1105920,0.886,0.886,0.401575918674469,4.4,ok,
22,k8-mega-lut-4-luts,672768,0.864,0.864,0.438416805267334,3.7,ok,
23,k3-tiny-lut-24-luts,4586880,0.905,0.896,0.32640045309066773,17.0,ok,
24,k2-tiny-lut-32-luts,8797440,0.906,0.893,0.33139674305915834,26.5,ok,
26,binaryvit-baseline,70986,0.305,0.305,1.914567931175232,33.2,ok,
27,binaryvit-topk4,70986,0.32,0.31,1.8575969104766845,24.44047474861145,ok,
28,binaryvit-learnable-scale,70988,0.415,0.415,1.6046022987365722,19.2,ok,
29,fp-patch-embed,70988,0.573,0.542,1.3106132068634033,19.2,ok,
30,cls-token,71116,0.454,0.454,1.586279191017151,18.6,ok,
31,depth4,137038,0.435,0.435,1.5206627750396728,33.9,ok,
